ts,Exit Time,Symbol,Side,Closed PnL,exec_fee,avgEntryPrice,avgExitPrice,qty,orderId,orderLinkId
1770656333698,2026-02-09 16:58:53,ETHUSDT,Sell,-0.07956564,,2092.81,2090.4,0.02,32477d1d-1b9c-4cb8-ae7d-ec00483a974f,
1770656402849,2026-02-09 17:00:02,SOLUSDT,Sell,-0.117267,,86.17,86,0.5,c77e4d24-58cb-4eb8-a714-60a9b3bea748,
1770658981383,2026-02-09 17:43:01,LINKUSDT,Sell,0.50028972,,8.813,8.909,5.6,21779ad6-0c3d-4553-87d7-8ecf8314e54a,
1770659847851,2026-02-09 17:57:27,SOLUSDT,Sell,0.00675675,,87.66,87.77,0.5,90db4d9a-fa5c-4d35-bc55-124e6c936c19,
1770660077685,2026-02-09 18:01:17,ETHUSDT,Sell,-0.1263808,,2128.39,2124.41,0.02,263a239d-d86d-4f57-8816-e6111bac6f46,
1770660333551,2026-02-09 18:05:33,BTCUSDT,Sell,-0.09543138,,70764.6,70747,0.001,92069257-ba16-43d4-a928-7c22452359f6,
1770660834864,2026-02-09 18:13:54,ADAUSDT,Sell,0.2386158,,0.2698,0.2713,184,f230009e-e85b-4245-8011-bf89a114b1f5,
1770666535262,2026-02-09 19:48:55,XRPUSDT,Sell,-0.04783202,,1.4488,1.4485,34.5,d7f0aeff-7ed5-4620-b8e0-5559ef2c8763,
1770667264671,2026-02-09 20:01:04,SOLUSDT,Sell,-0.1129035,,87.86,87.7,0.5,b62e266c-4b97-4a2b-bde7-fa63eb1bd086,
1770667265590,2026-02-09 20:01:05,BTCUSDT,Sell,-0.13190721,,70867.4,70788.6,0.001,31a762d9-4e81-4d3f-ab56-6d51d4ffc6f9,
1770682592517,2026-02-10 00:16:32,BTCUSDT,Buy,-0.15303461,,70071.7,70176.4,0.001,5289e2c6-7d68-4f25-bfa6-3a4bf02f2cb8,
1770685681189,2026-02-10 01:08:01,AVAXUSDT,Buy,-0.114763,,9.017,9.032,5.5,7a433e60-e738-4f43-945a-503b3da07166,
1770687008196,2026-02-10 01:30:08,XRPUSDT,Sell,0.0306027,,1.4452,1.4479,27.6,24dc928f-02ba-4f79-924f-95b1fcef6d6d,
1770693600398,2026-02-10 03:20:00,TRXUSDT,Sell,0.04850735,,0.27874,0.27932,179,e867d0e8-cb39-458d-a7ec-977889f58bba,
