transSubType,symbol,side,funding,orderLinkId,orderId,fee,change,cashFlow,transactionTime,type,feeRate,bonusChange,size,qty,cashBalance,currency,id,category,tradePrice,extraFees,tradeId
,BNBUSDT,Buy,0,,0ce37165-4dd5-4b75-8224-2c9b08e427c9,0.00415085,0.02284915,0.027,1770162676024,TRADE,0.00055,0,0,0.01,64.9438032,USDT,456575063_BNBUSDT_250006097888_3,linear,754.7,,493e1eeb-95fb-5fad-a76b-68f4f3bd1890
,BNBUSDT,Buy,0,,0ce37165-4dd5-4b75-8224-2c9b08e427c9,0.0083017,0.0456983,0.054,1770162676024,TRADE,0.00055,0,-0.01,0.02,64.92095405,USDT,456575063_BNBUSDT_250006097888_2,linear,754.7,,3409a007-9a97-5ecf-a7f6-768c68e87d84
,BNBUSDT,Buy,0,,0ce37165-4dd5-4b75-8224-2c9b08e427c9,0.00415085,0.02284915,0.027,1770162676024,TRADE,0.00055,0,-0.03,0.01,64.87525575,USDT,456575063_BNBUSDT_250006097888_1,linear,754.7,,aff31f66-13b8-533c-9d60-e29e214189d3
,BNBUSDT,Buy,0,,0ce37165-4dd5-4b75-8224-2c9b08e427c9,0.0083017,0.0456983,0.054,1770162676024,TRADE,0.00055,0,-0.04,0.02,64.8524066,USDT,456575063_BNBUSDT_250006097888_0,linear,754.7,,961be7e1-0922-57d0-b552-c630e63ad453
,LINKUSDT,Buy,0,,7b0981b5-2057-4c88-9cb1-6ab54cd85699,0.02128946,0.17141054,0.1927,1770162500956,TRADE,0.00055,0,0,4.1,64.8067083,USDT,456575063_LINKUSDT_301071075770_1,linear,9.441,,02b8c3a0-db86-55d1-8fe0-fcc2b5e65ab6
,LINKUSDT,Buy,0,,7b0981b5-2057-4c88-9cb1-6ab54cd85699,0.00571181,0.04598819,0.0517,1770162500956,TRADE,0.00055,0,-4.1,1.1,64.63529776,USDT,456575063_LINKUSDT_301071075770_0,linear,9.441,,ad1f9094-088f-525d-8061-f7244e2eba5f
,LINKUSDT,Sell,0,319ce4c1-e7d3-4379-80c0-f668fc64e1a1,22b83fa7-6c8d-4f40-9d2b-80d26d10046c,0.00986752,-0.00986752,0,1770161580215,TRADE,0.0002,0,-5.2,5.2,64.58930957,USDT,456575063_LINKUSDT_301068490559_0,linear,9.488,,d2a13f58-ef40-574b-9ff7-a2306d93e2c5
,BNBUSDT,Sell,0,0b531e45-9e14-4f48-972e-3b957feea5d9,47406436-93da-46c7-8ed4-5c2d5e7d8b25,0.0090888,-0.0090888,0,1770161580212,TRADE,0.0002,0,-0.06,0.06,64.59917709,USDT,456575063_BNBUSDT_250003933066_0,linear,757.4,,9608c109-5259-59f0-a76b-5be0906e7f0b
,BTCUSDT,Buy,0,,4df3df35-40b4-4551-990d-9a38d3620878,0.04159903,-0.04119903,0.0004,1770160260710,TRADE,0.00055,0,0,0.001,64.60826589,USDT,456575063_BTCUSDT_521858704980_0,linear,75634.6,,da3c1604-4fb1-5560-bd95-650ab3581c40
,AVAXUSDT,Buy,0,,6570e599-af0c-48a4-b2c3-101c08e89eae,0.01528758,0.07151242,0.0868,1770160149581,TRADE,0.00055,0,0,2.8,64.64946492,USDT,456575063_AVAXUSDT_247953167979_2,linear,9.927,,9e20da26-350e-5e6a-8ca1-ca25e18e7c21
,AVAXUSDT,Buy,0,,6570e599-af0c-48a4-b2c3-101c08e89eae,0.00600584,0.02809416,0.0341,1770160149581,TRADE,0.00055,0,-2.8,1.1,64.5779525,USDT,456575063_AVAXUSDT_247953167979_1,linear,9.927,,353d399e-818c-535e-ace5-2fb0741d44f3
,AVAXUSDT,Buy,0,,6570e599-af0c-48a4-b2c3-101c08e89eae,0.00600584,0.02809416,0.0341,1770160149581,TRADE,0.00055,0,-3.9,1.1,64.54985834,USDT,456575063_AVAXUSDT_247953167979_0,linear,9.927,,f5e6ef08-3838-52bb-b1bb-8fe4b79c59a7
,SOLUSDT,Buy,0,,43490954-e826-49a3-8f7d-f6993f4290c3,0.02684825,0.35315175,0.38,1770160148049,TRADE,0.00055,0,0,0.5,64.52176418,USDT,456575063_SOLUSDT_250000872364_0,linear,97.63,,56efbff3-cbdf-55c0-86ff-f1439c46b4a8
,ETHUSDT,Buy,0,,38dec613-95b9-4a86-a477-1e06c687ea68,0.0244101,0.2421899,0.2666,1770160097545,TRADE,0.00055,0,0,0.02,64.16861243,USDT,456575063_ETHUSDT_355024465216_0,linear,2219.1,,9f05c1f1-a214-5731-8aa3-514a5a41c6fb
,BTCUSDT,Sell,0,1fba9811-1f8a-4d98-917c-67f366254fa7,1d478491-30c7-4f42-a96b-200668a4cba6,0.015127,-0.015127,0,1770159686357,TRADE,0.0002,0,-0.001,0.001,63.92642253,USDT,456575063_BTCUSDT_521851821976_0,linear,75635,,0af17159-7602-5478-992d-a03064e71112
,AVAXUSDT,Sell,0,b6a67ce2-5f3b-4cce-ba56-23f9d9062216,51290f78-8df1-4308-bc1c-2ccba3e56a2d,0.009958,-0.009958,0,1770159685747,TRADE,0.0002,0,-5,5,63.94154953,USDT,456575063_AVAXUSDT_247951979411_0,linear,9.958,,cd97c975-627b-56e1-bb48-f18c889347af
,SOLUSDT,Sell,0,6be81afa-e197-4482-94a8-b7cd5e19cc74,6d767c7d-efcf-466b-9ac0-2955923a10f3,0.009839,-0.009839,0,1770159685150,TRADE,0.0002,0,-0.5,0.5,63.95150753,USDT,456575063_SOLUSDT_249999645115_0,linear,98.39,,d870b8e7-00c8-5bbc-81aa-5d7930243e3b
,ETHUSDT,Sell,0,5ee8e398-102d-4ea8-bbe0-1d0525109ab5,55cdc967-dab9-4051-90f7-98fc9bfb031c,0.00892972,-0.00892972,0,1770159680433,TRADE,0.0002,0,-0.02,0.02,63.96134653,USDT,456575063_ETHUSDT_355021435713_0,linear,2232.43,,fbee4f7a-8dda-5ed8-a2ad-fcfe4a3b3e5e
,BNBUSDT,Buy,0,,d7c0dbfe-5814-4234-adcb-0b4994339669,0.0124905,0.0685095,0.081,1770159295855,TRADE,0.00055,0,0,0.03,63.97027625,USDT,456575063_BNBUSDT_249999050870_2,linear,757,,e6993e25-41cf-59d7-92e4-67d8e46ade4b
,BNBUSDT,Buy,0,,d7c0dbfe-5814-4234-adcb-0b4994339669,0.0041635,0.0228365,0.027,1770159295855,TRADE,0.00055,0,-0.03,0.01,63.90176675,USDT,456575063_BNBUSDT_249999050870_1,linear,757,,758d0e00-7a06-5d7a-94fc-79cbf73e029f
,BNBUSDT,Buy,0,,d7c0dbfe-5814-4234-adcb-0b4994339669,0.008327,0.045673,0.054,1770159295855,TRADE,0.00055,0,-0.04,0.02,63.87893025,USDT,456575063_BNBUSDT_249999050870_0,linear,757,,240557a7-ac5a-50c0-a117-8fecc9c87c60
,BNBUSDT,Sell,0,3753da67-aac3-4175-b56f-6d837acefc1b,b9fcfdcb-24a0-4b3a-90b9-9c2ad1152034,0.0091164,-0.0091164,0,1770157200080,TRADE,0.0002,0,-0.06,0.06,63.83325725,USDT,456575063_BNBUSDT_249995609158_0,linear,759.7,,ba1ed953-bf4e-535f-ad5f-f0fb21e6b2b4
,ETHUSDT,Buy,0,,c1aa7397-f923-4d64-ae8a-e68c8329c545,0.02487067,-0.07467067,-0.0498,1770157174354,TRADE,0.00055,0,0,0.02,63.84237365,USDT,456575063_ETHUSDT_355009773152_0,linear,2260.97,,2452ee40-60a1-5226-a74b-f87fe9d237c3
,BTCUSDT,Buy,0,,ff47d545-88a2-4650-8359-c1a1669fa929,0.0416553,0.6050447,0.6467,1770157130883,TRADE,0.00055,0,0,0.001,63.91704432,USDT,456575063_BTCUSDT_521827139622_0,linear,75736.9,,7215db0c-32af-53b8-ade3-c7fb4aa104a5
,ETHUSDT,Sell,0,d8868b3d-f6b8-4109-9082-1a973ea1673f,7e38b7af-ba73-40c4-85b5-b3d9e5e5a2b0,0.00903392,-0.00903392,0,1770156980236,TRADE,0.0002,0,-0.02,0.02,63.31199962,USDT,456575063_ETHUSDT_355008620833_0,linear,2258.48,,46bb7c12-158b-5e19-9c80-52c252ef7a16
,SOLUSDT,Buy,0,,d0318b5b-8627-412a-ad0e-86fb49275d03,0.0218746,0.4341254,0.456,1770156696819,TRADE,0.00055,0,0,0.4,63.32103354,USDT,456575063_SOLUSDT_249994621226_0,linear,99.43,,27d98656-f15c-516f-b0ac-f472f4971bbf
,XRPUSDT,Sell,0,,071e791f-48fc-4a02-a205-2ba9778b7125,0.02704302,-0.78226302,-0.75522,1770155660041,TRADE,0.00055,0,0,30.7,62.88690814,USDT,456575063_XRPUSDT_230436583869_0,linear,1.6016,,66fbe3e0-7218-58db-982c-94b160b85f88
,BTCUSDT,Sell,0,393f9539-7989-4246-8ad3-7985ac70f20e,04ce0705-51de-4df1-bf05-9712a1a0704a,0.01527672,-0.01527672,0,1770155140224,TRADE,0.0002,0,-0.001,0.001,63.66917116,USDT,456575063_BTCUSDT_521812623482_0,linear,76383.6,,25cb9a75-8b92-5455-bec7-0d3ee8f9850b
,SOLUSDT,Sell,0,22fdd489-2edd-46a1-9cbc-8dee7bdb219e,5e78b65d-ba59-43e5-8a45-a6c52a9da256,0.0080456,-0.0080456,0,1770155130923,TRADE,0.0002,0,-0.4,0.4,63.68444788,USDT,456575063_SOLUSDT_249991576197_0,linear,100.57,,eced3896-3098-557a-8f38-0c3f3466b4ee
,XRPUSDT,Buy,0,c94d7c0c-469f-448b-bf86-96fb4075bc3b,d3bc4ddd-437b-445f-a62e-2a18f8ff5a65,0.02593789,-0.02593789,0,1770153378426,TRADE,0.00055,0,30.7,29,63.69249348,USDT,456575063_XRPUSDT_230432633926_1,linear,1.6262,,da55bc4b-30dc-5d86-ad11-dcb3dc150ad3
,XRPUSDT,Buy,0,c94d7c0c-469f-448b-bf86-96fb4075bc3b,d3bc4ddd-437b-445f-a62e-2a18f8ff5a65,0.0015205,-0.0015205,0,1770153378426,TRADE,0.00055,0,1.7,1.7,63.71843137,USDT,456575063_XRPUSDT_230432633926_0,linear,1.6262,,e34006d7-0a02-576f-8bce-618a5cf4c31c
,BTCUSDT,Buy,0,,d7481efb-dba5-4e3e-bb94-d0ef6611bcd5,0.04205625,0.17054375,0.2126,1770151843772,TRADE,0.00055,0,0,0.001,63.71995187,USDT,456575063_BTCUSDT_521783550980_0,linear,76465.9,,ff2dc929-7e83-5fb8-a94b-3e38efe94bb4
,SOLUSDT,Buy,0,,364625a9-2aed-42bd-a3b3-65c3bd235d67,0.0221474,0.1178526,0.14,1770151833979,TRADE,0.00055,0,0,0.4,63.54940812,USDT,456575063_SOLUSDT_249983843422_0,linear,100.67,,7eae1ca6-5270-5a23-81b4-5505e5a42134
,TRXUSDT,Buy,0,a01797ae-478a-4c13-ac98-799919bb5695,95ced644-a08a-4cf1-9805-708a3bae7ddb,0.02749093,-0.02749093,0,1770151580463,TRADE,0.00055,0,175,175,63.43155552,USDT,456575063_TRXUSDT_269295309046_0,linear,0.28562,,f21cca81-c747-5bbc-af34-dc58e5f4693d
,SOLUSDT,Sell,0,9866b730-2b60-4684-b23d-0b1e1c59f6cf,8ec873bf-b2d9-4d18-ba02-2d01d4c4fe06,0.0222244,-0.0222244,0,1770151579364,TRADE,0.00055,0,-0.4,0.4,63.45904645,USDT,456575063_SOLUSDT_249982973421_0,linear,101.02,,69bd63fa-69c8-5567-84c2-dd2ffa025eed
,BTCUSDT,Sell,0,6ca159fe-cf10-4695-a0c8-c64f31d3488b,bd84ab9b-ccd5-4215-9052-fba35d3cab5c,0.04217318,-0.04217318,0,1770151578314,TRADE,0.00055,0,-0.001,0.001,63.48127085,USDT,456575063_BTCUSDT_521780186255_0,linear,76678.5,,e6306be6-4926-507e-bbce-9644da7a0d0c
,BNBUSDT,Buy,0,,27562647-89a5-4f5d-95dc-3da34e96b7a1,0.0251064,-0.7031064,-0.678,1770150309731,TRADE,0.00055,0,0,0.06,63.52344403,USDT,456575063_BNBUSDT_249976627525_0,linear,760.8,,6f78801a-c090-57bd-87b8-0ac3954aeafe
