symbol,side,entry_time,exit_time,entry,exit,reason,gross_ret,net_ret
ETH/USDT:USDT,short,2023-01-16 08:00:00+00:00,2023-01-16 10:00:00+00:00,1539.3420700000001,1550.6453329962862,sl,-0.007342918261362201,-0.008842918261362201
ETH/USDT:USDT,short,2023-01-16 15:00:00+00:00,2023-01-16 15:15:00+00:00,1523.7951799999998,1533.1062791094898,sl,-0.006110466309185982,-0.007610466309185982
ETH/USDT:USDT,long,2023-01-16 17:15:00+00:00,2023-01-16 18:30:00+00:00,1550.61006,1566.6054468072339,tp,0.010315544326620647,0.008815544326620647
ETH/USDT:USDT,long,2023-01-16 20:30:00+00:00,2023-01-16 21:15:00+00:00,1587.4674300000001,1573.608223515528,sl,-0.008730387926429599,-0.010230387926429598
ETH/USDT:USDT,long,2023-01-16 23:15:00+00:00,2023-01-17 00:00:00+00:00,1582.4164199999998,1571.5763028725894,sl,-0.006850356827952023,-0.008350356827952023
ETH/USDT:USDT,short,2023-01-17 02:00:00+00:00,2023-01-17 04:15:00+00:00,1554.1891,1566.5290819738998,sl,-0.007939820176257663,-0.009439820176257663
ETH/USDT:USDT,long,2023-01-17 18:00:00+00:00,2023-01-17 18:30:00+00:00,1576.055148,1592.973358037844,tp,0.0107345292195601,0.009234529219560101
ETH/USDT:USDT,long,2023-01-17 20:30:00+00:00,2023-01-17 22:30:00+00:00,1584.206778,1574.0356823122167,sl,-0.006420308149813532,-0.007920308149813532
ETH/USDT:USDT,short,2023-01-18 00:30:00+00:00,2023-01-18 01:45:00+00:00,1571.58562,1580.7503403579487,sl,-0.0058315119719335945,-0.007331511971933595
ETH/USDT:USDT,long,2023-01-18 03:45:00+00:00,2023-01-18 08:15:00+00:00,1581.576252,1572.393071116982,sl,-0.005806347225690492,-0.007306347225690492
ETH/USDT:USDT,long,2023-01-18 14:15:00+00:00,2023-01-18 15:30:00+00:00,1591.798296,1582.3970443014462,sl,-0.005906057144412082,-0.007406057144412082
ETH/USDT:USDT,short,2023-01-18 17:30:00+00:00,2023-01-18 23:45:00+00:00,1545.860766,1510.3166597118561,tp,0.022993083898568842,0.02149308389856884
ETH/USDT:USDT,short,2023-01-19 01:45:00+00:00,2023-01-19 03:15:00+00:00,1516.736592,1527.6014303131744,sl,-0.007163299395874573,-0.008663299395874574
ETH/USDT:USDT,long,2023-01-19 15:00:00+00:00,2023-01-19 17:45:00+00:00,1537.297398,1528.6806730942901,sl,-0.005605112528597292,-0.007105112528597291
ETH/USDT:USDT,long,2023-01-19 19:45:00+00:00,2023-01-20 07:15:00+00:00,1550.76009,1541.7887148952934,sl,-0.005785147014395094,-0.007285147014395093
ETH/USDT:USDT,long,2023-01-20 18:00:00+00:00,2023-01-20 18:30:00+00:00,1592.078352,1582.9159192197574,sl,-0.005755013733295599,-0.007255013733295599
ETH/USDT:USDT,long,2023-01-20 20:30:00+00:00,2023-01-20 22:15:00+00:00,1633.836702,1656.9663900375256,tp,0.014156670620272007,0.012656670620272007
ETH/USDT:USDT,long,2023-01-21 00:15:00+00:00,2023-01-21 02:45:00+00:00,1662.08235,1646.332024963685,sl,-0.009476260328686458,-0.010976260328686458
ETH/USDT:USDT,short,2023-01-21 10:45:00+00:00,2023-01-21 12:15:00+00:00,1641.431648,1656.7521957795784,sl,-0.009333649560276066,-0.010833649560276066
ETH/USDT:USDT,short,2023-01-21 14:15:00+00:00,2023-01-21 15:15:00+00:00,1649.640006,1660.4403734486987,sl,-0.0065471056772483365,-0.008047105677248336
ETH/USDT:USDT,long,2023-01-21 17:15:00+00:00,2023-01-21 22:45:00+00:00,1656.941322,1645.9481033150712,sl,-0.006634645740900115,-0.008134645740900115
ETH/USDT:USDT,short,2023-01-22 00:45:00+00:00,2023-01-22 02:30:00+00:00,1632.6534040000001,1615.6621091322431,tp,0.01040716592151668,0.00890716592151668
ETH/USDT:USDT,short,2023-01-22 04:45:00+00:00,2023-01-22 12:45:00+00:00,1625.9547440000001,1635.3031251545708,sl,-0.0057494719266126685,-0.007249471926612669
ETH/USDT:USDT,long,2023-01-22 15:30:00+00:00,2023-01-22 17:15:00+00:00,1636.167168,1652.3130195393983,tp,0.009868094076924013,0.008368094076924014
ETH/USDT:USDT,short,2023-01-22 21:00:00+00:00,2023-01-22 21:30:00+00:00,1613.3172720000002,1625.1961093889277,sl,-0.007362989038232661,-0.008862989038232662
ETH/USDT:USDT,short,2023-01-22 23:45:00+00:00,2023-01-23 00:30:00+00:00,1627.6244100000001,1637.8418194784672,sl,-0.006277498307159857,-0.007777498307159857
ETH/USDT:USDT,short,2023-01-23 14:45:00+00:00,2023-01-23 15:00:00+00:00,1598.03033,1612.3224744183447,sl,-0.0089436002246244,-0.0104436002246244
ETH/USDT:USDT,short,2023-01-23 17:00:00+00:00,2023-01-23 18:00:00+00:00,1617.87636,1630.8077082007972,sl,-0.007992791365588144,-0.009492791365588144
ETH/USDT:USDT,short,2023-01-23 20:00:00+00:00,2023-01-23 21:00:00+00:00,1623.845166,1636.3753976293467,sl,-0.007716395560182765,-0.009216395560182765
ETH/USDT:USDT,short,2023-01-24 15:00:00+00:00,2023-01-24 21:45:00+00:00,1617.22649,1603.0577265329869,tp,0.008761149755228874,0.007261149755228874
ETH/USDT:USDT,short,2023-01-24 23:45:00+00:00,2023-01-25 01:15:00+00:00,1555.38886,1529.461273902078,tp,0.016669520249696358,0.015169520249696358
ETH/USDT:USDT,short,2023-01-25 03:15:00+00:00,2023-01-25 06:45:00+00:00,1543.961146,1556.369469897288,sl,-0.008036681447220693,-0.009536681447220693
ETH/USDT:USDT,short,2023-01-25 14:45:00+00:00,2023-01-25 15:00:00+00:00,1536.152708,1522.5901801291097,tp,0.008828892987174512,0.007328892987174512
ETH/USDT:USDT,long,2023-01-25 17:00:00+00:00,2023-01-25 20:00:00+00:00,1550.9101199999998,1565.2844263976892,tp,0.00926830395412563,0.00776830395412563
ETH/USDT:USDT,long,2023-01-25 22:00:00+00:00,2023-01-25 22:45:00+00:00,1619.6538659999999,1603.0735186401166,sl,-0.010236969582168283,-0.011736969582168282
ETH/USDT:USDT,long,2023-01-26 00:45:00+00:00,2023-01-26 02:30:00+00:00,1629.6258599999999,1612.281625396101,sl,-0.010643077671766293,-0.012143077671766292
ETH/USDT:USDT,long,2023-01-26 04:30:00+00:00,2023-01-26 06:15:00+00:00,1618.57365,1608.6687966154063,sl,-0.006119495016240816,-0.007619495016240816
